ISO639-1,lang_ja,lang
aa,アファル語,Afar
ab,アブハズ語,Abkhazian
ae,アベスタ語,Avestan
af,アフリカーンス語,Afrikaans
ak,アカン語,Akan
am,アムハラ語,Amharic; Abyssinian
an,アラゴン語,Aragonese
ar,アラビア語,Arabic
as,アッサム語,Assamese
av,アバール語,Avaric
ay,アイマラ語,Aymara
az,アゼルバイジャン語,Azerbaijani
ba,バシュキール語,Bashkir
be,白ロシア語；ベラルーシ語,Belarusian; Byelorussian
bg,ブルガリア語,Bulgarian
bh,ビハール語,Bihari languages
bi,ビスラマ語,Bislama
bm,バンバラ語,Bambara
bn,ベンガル語,Bengali; Bangla
bo,チベット語,Tibetan
br,ブルトン語,Breton
bs,ボスニア語,Bosnian
ca,カタロニア語,Catalan
ce,チェチェン語,Chechen
ch,チャモロ語,Chamorro
co,コルシカ語,Corsican
cr,クリー語,Cree
cs,チェコ語,Czech
cu,教会スラブ語,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
cv,チュワシュ語,Chuvash
cy,ウェールズ語,Welsh
da,デンマーク語,Danish
de,ドイツ語,German
dv,ディベヒ語；モルジブ語,Divehi; Dhivehi; Maldivian
dz,ゾンカ語；ブータン語,Dzongkha; Bhutani; Butanese
ee,エウェ語群；エベ語群,Ewe
el,現代ギリシア語,Modern Greek (post 1453)
en,英語,English
eo,エスペラント語,Esperanto
es,スペイン語；カスティーヤ語,Spanish; Castilian
et,エストニア語,Estonian
eu,バスク語,Basque
fa,ペルシア語,Farsi; Persian
ff,フラニ語；フルフルデ語,Fulah
fi,フィンランド語,Finnish
fj,フィジー語,Fijian
fo,フェーロー語,Faroese; Faeroese
fr,フランス語,French
fy,フリジア語；西フリジア語,Western Frisian
ga,アイルランド語,Irish
gd,高地スコットランド・ゲール語,Gaelic; Scottish Gaelic; Gaelic (Scots)
gl,ガリシア語,Galician
gn,グァラニ語；ワラニー語,Guarani
gu,グジャラート語,Gujarati
gv,マン島語,Manx
ha,ハウサ語,Hausa
he,ヘブライ語,Hebrew
hi,ヒンディー語,Hindi
ho,ヒリモトゥ語,Hiri Motu
hr,クロアチア語,Croatian
ht,ハイチ語；ハイチ・クレオール語,Haitian; Haitian Creole
hu,ハンガリー語；マジャル語,Hungarian
hy,アルメニア語,Armenian
hz,ヘレロ語,Herero
ia,インターリンガ語,Interlingua
id,インドネシア語,Indonesian
ie,インターリング,Interlingue; Occidental
ig,イグボ語；イボ語,Igbo
ii,彝語,Sichuan Yi; Nuosu
ik,イヌピアック語,Inupiaq
io,イド語,Ido
is,アイスランド語,Icelandic
it,イタリア語,Italian
iu,イヌイット語；エスキモー語,Inuktitut
ja,日本語,Japanese
jv,ジャワ語,Javanese
ka,グルジア語,Georgian
kg,コンゴ語,Kongo
ki,キクユ語,Kikuyu; Gikuyu
kj,クワニャマ語,Kuanyama; Kwanyama
kk,カザフ語,Kazakh
kl,グリーンランド語,Greenlandic; Kalaallisut
km,カンボジア語；クメール語,Central Khmer
kn,カンナダ語,Kannada
ko,韓国語；朝鮮語,Korean
kr,カヌリ語,Kanuri
ks,カシュミール語,Kashmiri
ku,クルド語,Kurdish
kv,コミ語,Komi
kw,コーンウォール語,Cornish
ky,キルギス語,Kirghiz; Kyrgyz
la,ラテン語,Latin
lb,ルクセンブルク語,Luxembourgish; Letzeburgesch
lg,ガンダ語,Ganda
li,リンブルガー語,Limburgan; Limburger; Limburgish
ln,リンガラ語,Lingala
lo,ラオ語,Laotian; Lao
lt,リトアニア語,Lithuanian
lu,キルバ語,Luba-Katanga
lv,ラトビア語,Latvian; Lettish
mg,マラガシ語,Malagasy
mh,マーシャル語,Marshallese
mi,マオリ語,Maori
mk,マケドニア語,Macedonian
ml,マラヤーラム語,Malayalam
mn,満州語；モンゴル語,Mongolian
mo,モルダビア語,Moldavian
mr,マラーティー語,Marathi
ms,マレー語,Malay
mt,マルタ語,Maltese
my,ビルマ語；ミャンマー語,Myanmar; Burmese
na,ナウル語,Nauran
nb,ブークモール,"Bokmål, Norwegian; Norwegian Bokmål"
nd,北ンデベレ語,"Ndebele, North; North Ndebele"
ne,ネパール語,Nepali
ng,ンドゥンガ語,Ndonga
nl,オランダ語,Dutch
nn,ニューノシュク,"Norwegian Nynorsk; Nynorsk, Norwegian"
no,ノルウェー語,Norwegian
nr,南ンデベレ語,"Ndebele, South; South Ndebele"
nv,ナバホ語,Navajo; Navaho
ny,チェワ語；ニャンジャ語,Chichewa; Chewa; Nyanja
oc,オック語,Occitan (post 1500)
oj,オジブワ語,Ojibwa
om,オロモ語；ガッラ語,Oromo; Afan Oromo; Galla
or,オリヤー語,Oriya
os,オセット語,Ossetian; Ossetic
pa,パンジャーブ語,Punjabi; Panjabi
pi,パーリ語,Pali
pl,ポーランド語,Polish
ps,パシュトー語,Pushto; Pashto
pt,ポルトガル語,Portuguese
qu,ケチュア語,Quechua
rm,レト・ロマンス語；ロマンシュ語,Romansh
rn,ルンディ語,Kirundi; Rundi
ro,ルーマニア語,Romanian
ru,ロシア語,Russian
rw,ルワンダ語,Kinyarwanda; Rwanda
sa,サンスクリット語,Sanskrit
sc,サルデーニャ語,Sardinian
sd,シンド語,Sindhi
se,北サーミ語,Northern Sami
sg,サンゴ語,Sangho
si,シンハラ語,Sinhala; Sinhalese
sk,スロバキア語,Slovak
sl,スロベニア語,Slovenian
sm,サモア語,Samoan
sn,ショナ語,Shona; Chishona
so,ソマリ語,Somali
sq,アルバニア語,Albanian
sr,セルビア語,Serbian
ss,スワティ語,Swazi; Swati; Siswati
st,南ソト語,Sesotho; Southern Sotho 
su,スンダ語,Sundanese
sv,スウェーデン語,Swedish
sw,スワヒリ語,Swahili; Kiswahili
ta,タミル語,Tamil
te,テルグ語,Telugu
tg,タジク語,Tajiki
th,タイ語,Thai
ti,ティグリニア語,Tigrinya
tk,トルクメン語,Turkmen
tl,タガログ語,Tagalog
tn,ツワナ語,Setswana; Tswana
to,トンガ語(トンガ諸島),Tongan (Tonga Islands)
tr,トルコ語,Turkish
ts,ツォンガ語,Tsonga
tt,タタール語,Tatar
tw,チュイ語,Twi; Tshi
ty,タヒチ語,Tahitian
ug,ウイグル語,Uighur; Uyghur
uk,ウクライナ語,Ukrainian
ur,ウルドゥー語,Urdu
uz,ウズベク語,Uzbek
ve,ベンダ語,Venda
vi,ベトナム語,Vietnamese
vo,ボラピューク語,Volapuk
wa,ワロン語,Walloon
wo,ウォロフ語,Wolof
xh,コサ語,Xhosa
yi,イディッシュ語,Yiddish
yo,ヨルバ語,Yoruba
za,チュワン語,Zhuang; Chuang
zh,中国語,Chinese
zu,ズールー語,Zulu
